,Date_Frame,Name,Title
0,19-Jan-99_Frame_16,Bill Clinton,State of the Union Address
1,19-Mar-08_Frame_2,George W. Bush,Remarks on the War on Terror
2,27-Jan-00_Frame_14,Bill Clinton,State of the Union Address
3,19-Jan-76_Frame_16,Gerald Ford,State of the Union Address
4,25-Jan-88_Frame_2,Ronald Reagan,State of the Union Address
5,20-Jan-15_Frame_18,Barack Obama,2015 State of the Union Address
6,31-Mar-68_Frame_6,Lyndon B. Johnson, Remarks on Decision not to Seek Re-Election
7,10-Apr-75_Frame_8,Gerald Ford,Address on U.S. Foreign Policy
8,15-Jan-75_Frame_12,Gerald Ford,State of the Union Address
9,04-Dec-13_Frame_16,Barack Obama,Speech on Economic Mobility
10,28-Jan-08_Frame_11,George W. Bush,State of the Union Address
11,27-Jan-98_Frame_1,Bill Clinton,State of the Union Address
12,19-Mar-08_Frame_7,George W. Bush,Remarks on the War on Terror
13,31-Mar-68_Frame_3,Lyndon B. Johnson, Remarks on Decision not to Seek Re-Election
14,19-Dec-67_Frame_6,Lyndon B. Johnson,A Conversation with President Lyndon Johnson
15,31-May-88_Frame_6,Ronald Reagan,Address at Moscow State University
16,12-Jan-09_Frame_22,George W. Bush,Final Press Conference
17,14-Jan-69_Frame_5,Lyndon B. Johnson,State of the Union Address
18,19-Jan-76_Frame_17,Gerald Ford,State of the Union Address
19,19-Jan-76_Frame_15,Gerald Ford,State of the Union Address
